custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit,id
42,unknown,single,NA,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,76
30,technician,single,NA,no,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,no,NA,77
NA,retired,married,high.school,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,78
NA,admin.,single,high.school,no,yes,yes,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,no,NA,79
35,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,999,1,no,NA,80
NA,admin.,married,basic.9y,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,999,1,no,NA,81
35,technician,divorced,university.degree,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,no,NA,82
31,technician,married,NA,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,83
50,management,divorced,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,84
46,technician,divorced,professional.course,no,no,no,cellular,jul,NA,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,85
30,blue-collar,married,basic.9y,no,no,no,telephone,jun,thu,29,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,no,NA,86
34,blue-collar,married,NA,unknown,yes,yes,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,87
33,entrepreneur,married,university.degree,unknown,yes,no,cellular,may,NA,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,2,no,NA,88
NA,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,89
NA,unknown,married,NA,unknown,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,90
30,student,single,NA,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,91
34,technician,married,university.degree,no,yes,no,cellular,aug,fri,3,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,999,0,no,NA,92
NA,technician,single,professional.course,unknown,yes,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,93
55,entrepreneur,divorced,NA,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,94
52,management,married,university.degree,no,yes,yes,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,no,NA,95
46,housemaid,married,NA,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,999,0,no,NA,96
NA,retired,married,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,999,0,no,NA,97
30,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,no,NA,98
41,technician,divorced,professional.course,no,yes,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,99
50,entrepreneur,married,unknown,unknown,yes,yes,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,100
41,admin.,married,university.degree,no,yes,no,cellular,jul,wed,1,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,999,2,no,NA,101
NA,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,102
32,admin.,married,high.school,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999,0,no,NA,103
NA,management,married,NA,unknown,yes,yes,cellular,apr,tue,8,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,999,0,no,NA,104
39,services,married,high.school,no,yes,yes,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,no,NA,105
47,blue-collar,married,NA,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,106
NA,admin.,divorced,high.school,no,yes,no,cellular,aug,wed,6,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,107
NA,services,married,high.school,unknown,no,yes,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999,0,no,NA,108
35,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,no,NA,109
35,management,single,university.degree,no,no,yes,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,110
49,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,111
32,services,married,basic.4y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,no,NA,112
NA,blue-collar,married,NA,no,unknown,unknown,cellular,aug,mon,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,no,NA,113
32,admin.,single,university.degree,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,114
NA,blue-collar,single,NA,no,yes,yes,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0,no,NA,115
33,admin.,married,university.degree,no,no,no,cellular,nov,NA,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,5,no,NA,116
NA,self-employed,married,high.school,no,no,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,117
35,technician,single,NA,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,118
34,technician,divorced,unknown,no,yes,yes,cellular,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,119
43,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999,0,no,NA,120
35,technician,married,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,no,NA,121
35,management,single,university.degree,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0,no,NA,122
53,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,123
45,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,124
NA,management,married,NA,no,yes,no,cellular,jul,NA,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,no,NA,125
NA,admin.,married,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,no,NA,126
31,management,single,university.degree,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,127
44,blue-collar,married,NA,unknown,no,no,telephone,jun,tue,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,no,NA,128
NA,admin.,married,high.school,unknown,unknown,unknown,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,129
44,admin.,single,university.degree,unknown,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0,no,NA,130
NA,unemployed,married,NA,no,unknown,unknown,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999,0,no,NA,131
31,management,single,university.degree,no,yes,yes,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,999,0,no,NA,132
NA,self-employed,married,university.degree,no,yes,no,telephone,jul,thu,27,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,133
NA,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,1,no,NA,134
NA,blue-collar,married,basic.9y,no,no,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,93.369,-34.8,0.636,5008.7,999,0,no,NA,135
29,admin.,single,high.school,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,136
30,services,married,high.school,no,yes,no,cellular,nov,wed,4,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,1,no,NA,137
NA,admin.,single,high.school,no,no,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999,6,no,NA,138
33,entrepreneur,married,university.degree,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,139
53,entrepreneur,married,basic.4y,unknown,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,140
37,management,married,NA,no,no,no,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8,999,3,no,NA,141
NA,management,single,university.degree,no,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999,0,no,NA,142
34,admin.,single,university.degree,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,no,NA,143
41,admin.,married,university.degree,no,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,144
24,blue-collar,married,basic.9y,no,yes,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,999,0,no,NA,145
36,admin.,married,university.degree,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,146
45,admin.,married,unknown,no,no,no,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,no,NA,147
NA,admin.,married,high.school,no,yes,no,telephone,may,NA,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,148
51,admin.,divorced,university.degree,no,yes,yes,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,149
NA,blue-collar,married,NA,unknown,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,no,NA,150
36,services,single,high.school,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,151
58,blue-collar,married,NA,unknown,no,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,no,NA,152
51,technician,married,professional.course,unknown,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,no,NA,153
NA,admin.,divorced,NA,no,no,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,no,NA,154
38,blue-collar,divorced,basic.4y,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,no,NA,155
36,admin.,single,NA,no,yes,no,cellular,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,no,NA,156
29,admin.,married,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,-1.8,93.876,-40,0.69,5008.7,999,0,no,NA,157
32,admin.,single,NA,no,no,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,158
38,admin.,married,NA,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,no,NA,159
40,self-employed,married,NA,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,no,NA,160
45,technician,married,university.degree,no,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,no,NA,161
25,student,single,high.school,no,no,no,telephone,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,162
NA,admin.,single,high.school,no,yes,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,163
28,services,married,high.school,no,yes,no,telephone,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,164
NA,technician,married,university.degree,unknown,yes,no,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,999,0,no,NA,165
39,admin.,married,NA,no,yes,yes,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,166
42,blue-collar,married,NA,unknown,yes,no,telephone,may,mon,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,167
26,entrepreneur,single,high.school,no,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,no,NA,168
46,housemaid,married,basic.4y,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,169
35,technician,single,professional.course,no,no,yes,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,170
30,services,married,NA,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,no,NA,171
30,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,no,NA,172
NA,services,single,NA,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,no,NA,173
37,blue-collar,divorced,basic.9y,no,yes,yes,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,no,NA,174
30,blue-collar,married,basic.6y,no,yes,no,cellular,jul,NA,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,no,NA,175
NA,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,999,0,no,NA,176
36,admin.,single,university.degree,no,no,no,cellular,jul,thu,40,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,177
31,blue-collar,married,NA,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,no,NA,178
40,admin.,married,NA,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,no,NA,179
34,technician,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,no,NA,180
55,admin.,married,university.degree,unknown,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,no,NA,181
63,retired,married,university.degree,no,no,no,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,999,0,no,NA,182
50,admin.,married,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,no,NA,183
30,admin.,single,university.degree,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0,no,NA,184
NA,technician,married,university.degree,no,no,yes,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,no,NA,185
